username,recent_avatar_url
magnuscarlsen,https://images.chesscomfiles.com/uploads/v1/master_player/3b0ddf4e-bd82-11e8-9421-af517c2ebfed.f2dc9e34.250x250o.5ede81456fe8.png
hikaru,https://images.chesscomfiles.com/uploads/v1/master_player/5c8147c2-bd7f-11e8-863f-15ded6970bf6.e234e103.250x250o.70ca1cbc7be1.jpg
fabianocaruana,https://images.chesscomfiles.com/uploads/v1/user/11177810.9dfc8d31.160x160o.ee6c5decac51.png
arjunerigaisi2003,https://images.chesscomfiles.com/uploads/v1/user/67456812.c71d3199.160x160o.045c93b9f684.jpeg
lachesisq,https://images.chesscomfiles.com/uploads/v1/master_player/cf02cd92-c0a0-11e8-b780-451d887b5ef3.242dbfa0.250x250o.8c0f87c32a51.jpg
gukeshdommaraju,https://images.chesscomfiles.com/uploads/v1/master_player/aaddba1a-581d-11ea-8c0d-b7e1dbfaca01.44d7c2c3.250x250o.dbe59298eba0.png
ChessWarrior7197,https://images.chesscomfiles.com/uploads/v1/master_player/31312204-98ce-11eb-a526-bf8e17d64341.9d09bea2.250x250o.aa644e468977.jpg
lovevae,https://images.chesscomfiles.com/uploads/v1/master_player/fc77c8fe-c0d2-11e8-9953-69dae18ad41c.1ed0c263.250x250o.5ab56124c7c3.jpeg
firouzja2003,https://images.chesscomfiles.com/uploads/v1/user/42022994.2c7a0722.160x160o.f194f0d76298.jpg
gmwso,https://images.chesscomfiles.com/uploads/v1/master_player/d1da994a-c00b-11e8-ae3d-67e3121970db.484f4dd9.250x250o.488cf0b1445d.png
rpragchess,https://images.chesscomfiles.com/uploads/v1/master_player/9bb57ff4-9a62-11eb-bc08-c5e2317685bc.77645c67.250x250o.5350a415eabd.jpg
dominguezonyoutube,https://images.chesscomfiles.com/uploads/v1/master_player/ef746204-c008-11e8-9179-bfa729926b5d.631b38e0.250x250o.61d149c28bb9.jpeg
anishgiri,https://images.chesscomfiles.com/uploads/v1/master_player/93222764-bd80-11e8-b51a-fd14c22a36df.a931527c.250x250o.40904153feeb.jpeg
chefshouse,https://images.chesscomfiles.com/uploads/v1/user/55459850.9ab17dd9.160x160o.27df38a67b97.png
